sample_id,date,feature_name,location,code,pcs/m,quantity,parent_boundary,length,groupname,city,feature_type,canton
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G93,0.07,5,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G702,0.04,3,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G707,0.04,3,les-alpes,75.0,recreation,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G156,0.01,1,les-alpes,75.0,packaging non food,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G178,0.04,3,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G90,0.01,1,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G27,0.24,18,les-alpes,75.0,tobacco,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G923,0.03,2,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G35,0.01,1,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G706,0.01,1,les-alpes,75.0,recreation,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G100,0.03,2,les-alpes,75.0,waste water,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G710,0.05,4,les-alpes,75.0,recreation,Troistorrents,p,Valais
